Plot,State,Location,Density,Planting Date,Rep within Environment,Genotype,Kernel Width,Kernel Length,Cob Length,Cob Width,Cob Weight,Days to Anthesis,Days to Silk,Ear Height Maturity,Ear length,Ear Width,Ear Weight,Per Plant Grain Weight,Kernel Depth,Kernel Row Number,Leaf Number Above Ear,Leaf Number Below Ear,Plant Height Maturity,Plant Height 14 DAP,Plant Height 21 DAP,Plant Height 28 DAP,Plant Height 35 DAP,Plant Height 42 DAP,Plant Height 49 DAP,Plant Height 56 DAP,Plant Height 63 DAP,Plant Height 70 DAP
321078,Iowa,Curtiss - 1,High,5/19/15,Rep1,B73,7.234343333,10.84855167,138.8200311,25.74784736,20.897,68.6,68.6,100,137.9709656,32.00198211,105.7618333,84.86483333,4.573751895,16.33333333,5.7,14.2,200.4166667,.,.,50.51666667,74.94666667,103.03,136.18,174.4533333,.,.
322076,Iowa,Curtiss - 1,High,5/19/15,Rep2,B73,7.123218333,10.78018333,136.9476278,25.61336,19.96416667,68.8,68.2,92.2,136.8936528,33.96717306,103.1364584,83.17229167,4.475123695,16.2,5.513333333,13.87666667,188.3666667,.,.,51.96666667,75.82666667,100.5266667,130.7733333,165.7933333,.,.
323080,Iowa,Curtiss - 1,Low,5/19/15,Rep1,B73,7.361555,10.49824333,132.2360689,26.0036945,20.0636,68.4,67.6,78.8,131.0541928,32.96690695,92.64733333,72.58373333,4.829172883,16.17333333,5.6375,14.26,173.4833333,.,.,47.07333333,69.33333333,93.73333333,123.68,156.94,.,.
324078,Iowa,Curtiss - 1,Low,5/19/15,Rep2,B73,7.152428333,10.12317,133.4847611,25.29593056,19.72266667,68,67.2,80.93333333,133.1034083,30.93059718,89.72933333,70.00666667,4.963003367,15.79333333,5.413333333,14.36666667,169.04,.,.,48.8,69,93.43333333,124.6333333,158.4,.,.
325083,Iowa,Curtiss - 2,High,6/1/15,Rep1,B73,6.970606667,11.10149333,143.7731722,26.11338722,21.10958333,62.4,62.6,90.33333333,140.598525,34.79886078,120.8927083,99.78312501,4.084549306,16.8,5.3,14.06,177.2333333,28.00666667,49,73.65333333,90.16666667,119.12,162.1833333,197.5,.,.
326066,Iowa,Curtiss - 2,High,6/1/15,Rep2,B73,6.65988,10.74166,141.7061767,26.10831428,20.41226667,62,62.4,91.6,136.3613993,34.34357989,116.8959333,96.48366666,4.284076183,17.28,5.3,13.45333333,181.2933333,27.1,49.66666667,71.73333333,89.7,124.0666667,168.4,202.5,.,.
327063,Iowa,Curtiss - 2,Low,6/1/15,Rep1,B73,6.749838333,11.02783333,137.7214811,26.64654733,20.76013333,60.4,59.8,83,133.53923,36.46529128,117.5242333,96.76410001,4.172162372,17.53333333,5.303333333,.,167.2366667,26.86666667,51.61333333,76.2,93.8,127.1,170.6333333,200.4,.,.
328078,Iowa,Curtiss - 2,Low,6/1/15,Rep2,B73,6.553623333,11.04773,143.7800867,27.11251033,22.11666667,60.6,60,86,140.2691011,37.78380087,125.288,103.1713333,4.428221183,18.2,5.506666667,13.83333333,178.3333333,26.23333333,50.56666667,75.26666667,92.7,130.8333333,170.6333333,203.7666667,.,.
329072,Iowa,Kelly - 1,High,6/10/16,Rep1,B73,6.469803333,10.25271,125.6149944,25.07670739,15.87766667,63,62.6,102.4333333,120.6552917,35.12925833,80.10449999,64.22683334,4.296660472,16.18666667,5.133333333,.,204.5666667,.,38.5,59.43333333,80.5,132.6,.,.,.,.
330074,Iowa,Kelly - 1,High,6/10/16,Rep2,B73,6.381115,10.569575,127.7888111,24.87208922,16.13366667,62.6,61.8,101.25,124.8808639,33.38126208,83.82133333,67.68766667,4.473910139,16.46666667,5.3,.,204.05,.,39.14,59.1,82.83333333,134.7833333,.,.,.,.
331070,Iowa,Kelly - 1,Low,6/2/15,Rep1,B73,7.151581667,10.58693167,142.3138011,26.87098456,21.9798,66.8,65.6,93.77333333,138.6550722,36.62891667,111.2637333,89.28393333,4.157016211,16.69333333,5.266666667,.,185.0866667,20.32666667,36.02,55.69333333,71.52666667,95,148.5466667,.,.,.
332082,Iowa,Kelly - 1,Low,6/2/15,Rep2,B73,6.76402,10.85680667,144.4748472,27.08786528,23.32833333,65.6,65.4,93.7,141.3021403,35.56829028,119.0419167,95.71358334,4.048682389,17.63333333,5.246666667,.,190.4866667,21.23333333,37.95,58.51666667,76.68333333,101.1,156.2666667,.,.,.
333064,Iowa,Kelly - 2,High,6/2/15,Rep1,B73,6.754071667,10.47665333,128.4060311,24.82067539,15.5876,64.8,64.4,106.1666667,126.6935772,30.50310695,85.3536,69.766,4.351209089,16.34,5.28,.,211.6933333,24.1,43.83333333,68.5,87.33333333,113.1666667,170.1,.,.,.
334073,Iowa,Kelly - 2,High,6/2/15,Rep2,B73,6.253903333,10.32340667,131.4591111,25.41855611,16.8866,64.2,64.4,96.31333333,129.6397656,32.91689364,91.40346667,74.51686667,4.308760044,17.57333333,5.2,.,202.2466667,25.23333333,45.03333333,69.23333333,87.8,113.2666667,167.2333333,.,.,.
335079,Iowa,Kelly - 2,Low,6/10/16,Rep1,B73,7.316681667,11.18277333,141.0151555,26.47529489,21.65266667,62.25,61.8,92.93333333,136.8021422,35.3841976,117.1541667,95.50150001,4.097372778,15.93333333,5.5,.,195.0333333,.,37.43333333,56.03333333,77.2,123.0666667,.,.,.,.
336080,Iowa,Kelly - 2,Low,6/10/16,Rep2,B73,6.811221667,10.83564,137.3305093,26.43175741,21.80966667,61.6,60.6,88.76666667,131.2689639,36.8935,109.3755,87.56583334,4.175821148,16.53333333,5.386666667,.,186.36,.,40.1,59.16666667,79.66666667,127.9333333,.,.,.,.
