State,Plot,Entry,Genotype,envi,envi1,rep,SW,SL,CL,CW,CWT,DTA,DTS,EH,EL,EW,EWT,GWT,KD,KH,KRN,KW,LNA,LNB,PHt,PHt14,PHt21,PHt28,PHt35,PHt42,PHt49,PHt56,PHt63,PHt70
Iowa,332065,Inbred022,B122,X331,I_K1_L,2,6.370108333,10.50141833,147.8985556,29.67954722,23.075,64,64,82.83333333,143.6616945,37.391975,133.3441667,110.2691667,4.039481944,4.153958335,19.33333333,6.564421991,5.8,.,194.8,21.16666667,39.83333333,60,76.66666667,98.16666667,151,.,.,.
Iowa,332066,Inbred023,B123,X331,I_K1_L,2,6.917266667,10.667365,142.2964445,28.82547222,24.19666667,66,66,109.2,135.4243333,.,129.6266667,105.43,4.194668889,.,19.33333333,.,5,.,212.6,23.16666667,42.83333333,65.16666667,79.66666667,104.8333333,159.3333333,.,.,.
Iowa,332068,Inbred024,B125,X331,I_K1_L,2,6.994736667,11.16880333,158.8029167,25.58415,23.625,67,67,124.8333333,156.4587083,33.79540555,140.0766667,116.4516667,4.167363889,.,16.33333333,6.635712363,5.333333333,.,235.6666667,23.16666667,39.16666667,60.33333333,80.33333333,107.3333333,169.3333333,.,.,.
Iowa,332083,Inbred025,B131,X331,I_K1_L,2,6.36524,10.05162667,143.1184167,26.29817222,20.27333333,66,64,88.83333333,138.1689445,33.32532917,101.3491667,81.07583333,3.574714861,3.513578473,17,6.186099216,4.833333333,.,180.3333333,22.6,39.5,59.33333333,76.33333333,97.83333333,149,.,.,.
Iowa,332075,Inbred026,B154,X331,I_K1_L,2,6.52018,10.12994333,147.3835,25.43951111,21.22833333,64,65,78.66666667,146.1487778,.,109.5058333,88.2775,3.98526,.,16.66666667,.,5,.,170.6,22.33333333,38.16666667,58.5,75.33333333,95.16666667,141.3333333,.,.,.
Iowa,332062,Inbred027,B175,X331,I_K1_L,2,6.466416667,10.592435,138.5605278,28.11074444,20.32666667,62,60,63,133.9779444,35.6489,122.3016667,101.975,4.452708194,4.143904169,18.66666667,6.596622261,5.25,.,148.5,23.5,42.16666667,60.5,77,99.66666667,144.1666667,.,.,.
Iowa,332074,Inbred028,B189,X331,I_K1_L,2,6.933565,10.44532667,101.3812778,22.49505139,11.38166667,65,66,81,99.20640277,.,55.90083333,44.51916667,4.685665,.,16,.,4.8,.,174.6,16.16666667,32.2,50.6,65,81.4,132.8,.,.,.
Iowa,332082,Inbred029_33,B73,X331,I_K1_L,2,6.76402,10.85680667,144.4748472,27.08786528,23.32833333,65.6,65.4,93.7,141.3021403,35.56829028,119.0419167,95.71358334,4.048682389,4.047331249,17.63333333,6.539743044,5.246666667,.,190.4866667,21.23333333,37.95,58.51666667,76.68333333,101.1,156.2666667,.,.,.
Iowa,333054,Inbred012,Mo17,X333,I_K2_H,1,7.949565,9.424881667,130.2173334,16.82333722,6.228333333,64,69,97.5,132.7890834,23.83207917,46.645,40.41666667,5.451704306,3.474561249,9.333333333,8.436895643,5,.,210,21.66666667,39.83333333,57.66666667,72.66666667,96,153.1666667,.,.,.
Iowa,333062,Inbred014,B004,X333,I_K2_H,1,6.547908333,10.28848167,134.3801111,26.48055833,15.275,67,69,103.1666667,131.4979167,33.13562292,89.89083333,74.61583333,4.520106389,3.404790625,16.66666667,6.316220618,6,.,215.5,21.83333333,38.83333333,61.66666667,79.5,103.6666667,159.3333333,.,.,.
Iowa,333076,Inbred015,B040,X333,I_K2_H,1,6.834505,10.19852333,136.6061389,22.67690833,16.54,62,61,86.33333333,136.4597361,31.27560208,94.48666667,77.94666667,4.46992375,4.213621875,15.33333333,6.364932341,5.166666667,.,192.6666667,21.5,40.33333333,62.33333333,79.83333333,106.5,161.3333333,.,.,.
Iowa,333069,Inbred016,B043,X333,I_K2_H,1,5.854911667,8.936143333,119.5324,21.32884567,8.488,62,62,73.2,117.8030833,26.73323542,46.446,37.958,4.379362167,2.7295475,14.8,5.647224396,4.6,.,164.2,12.16666667,25.66666667,40.33333333,61.33333333,78.8,127.4,.,.,.
Iowa,333070,Inbred017,B049,X333,I_K2_H,1,6.096423333,9.184428333,108.585,25.92140556,12.455,69,69,112.1666667,108.9712917,30.98817639,55.11333333,42.65833333,4.224513889,2.533385416,15.66666667,6.215074578,4.833333333,.,203,20.16666667,39,59.5,76.66666667,101.8333333,152.5,.,.,.
Iowa,333053,Inbred018,B055,X333,I_K2_H,1,6.076526667,10.69128333,129.6246667,25.94737,17.442,67,67,119.3333333,128.47955,34.7329125,102.078,84.636,3.914732667,3.982772915,18.8,5.754774295,5.2,.,227,24.83333333,46.5,69.83333333,90.83333333,118.1666667,180.6666667,.,.,.
Iowa,333061,Inbred019,B102,X333,I_K2_H,1,6.074198333,10.06115167,127.0352778,24.46125833,15.405,66,66,98.5,121.9111806,31.68103195,82.2375,66.8325,3.966809722,3.609886807,17,5.890242563,5.666666667,.,202.6666667,22,40.66666667,63.5,79.66666667,105,157.8333333,.,.,.
Iowa,333077,Inbred020,B107,X333,I_K2_H,1,6.532668333,9.740688333,100.3053056,24.98689722,13.13,67,65,109.3333333,100.5222639,32.42759792,70.22916667,57.09916667,4.087389167,3.485223959,16.33333333,6.191971583,6,.,209,20.33333333,43.16666667,68.16666667,86.66666667,113.3333333,166,.,.,.
Iowa,333075,Inbred021,B111,X333,I_K2_H,1,6.073775,9.988126667,133.0854167,27.57275833,18.00166667,65,66,104.6666667,132.2052361,34.36320139,100.4916667,82.49,4.0630475,3.395221527,17.66666667,6.147320048,5.333333333,.,203.5,23.83333333,42.83333333,66.66666667,84.33333333,112,166.1666667,.,.,.
Iowa,333052,Inbred022,B122,X333,I_K2_H,1,6.575001667,9.399693333,116.6495,27.416125,13.49,67,69,119.5,113.8766667,.,63.64166667,50.15166667,4.653085972,.,17,.,5.666666667,.,228.1666667,18.66666667,35,55.33333333,72.33333333,94.33333333,154.3333333,.,.,.
Iowa,333056,Inbred023,B123,X333,I_K2_H,1,6.391486667,10.20572,124.0874667,27.91756333,18.456,66,67,124.8,114.0512917,.,96.403,77.947,4.409524667,.,18.8,.,5.5,.,231,26,47.2,70.2,85.8,108.4,149.2,.,.,.
Iowa,333067,Inbred024,B125,X333,I_K2_H,1,6.726555,10.41505833,134.6305833,24.14400528,18.31833333,67,66,127.8333333,132.5597778,31.71489861,102.5283333,84.21,4.202341806,3.785446666,15.66666667,6.368952345,5.2,.,234.6,24.5,45.33333333,72.5,89.16666667,116,166.1666667,.,.,.
Iowa,333066,Inbred025,B131,X333,I_K2_H,1,5.915236667,10.09438333,147.2035833,25.83462222,20.22666667,65,64,102.3333333,142.6386389,34.0344125,110.3158333,90.08916667,3.59870375,4.099895138,18,5.966168708,5.666666667,.,212.3333333,24.83333333,45.83333333,70.83333333,88.16666667,114.8333333,173,.,.,.
Iowa,333074,Inbred026,B154,X333,I_K2_H,1,6.199081667,9.584266667,124.7916111,22.94212667,15.085,63,65,88.83333333,122.4950278,32.08993667,75.4175,60.3325,4.360597917,3.941233333,16.8,6.02394879,5,.,183.8333333,21.66666667,37.16666667,59.66666667,77,99.83333333,148.5,.,.,.
